clean_tokens
"['unit', 'airlin', 'bakar', 'usai', 'kelinci', 'terhisap', 'mesin', 'pesawat']"
"['libur', 'jepang', 'izin', 'wamendagri', 'bupati', 'indramayu', 'lucky', 'hakim', 'tak', 'paham', 'atur']"
"['polda', 'aceh', 'lapor', 'siapa', 'aku', 'lulus', 'rekrutmen', 'polri', 'imbal']"
"['tim', 'bulu', 'tangki', 'indonesia', 'gagal', 'final', 'piala', 'sudirman']"
"['kenal', 'sindrom', 'pire', 'bersih', 'pantang', 'henti', 'makan', 'habi']"
"['ribu', 'orang', 'prediksi', 'banyuwangi', 'lama', 'libur', 'lebaran']"
"['sekolah', 'rakyat', 'butuh', 'hektare', 'lahan', 'tampung', 'siswa']"
"['kapolri', 'listyo', 'sigit', 'sebut', 'jadi', 'tingkat', 'aru', 'balik', 'mudik']"
"['kemenk', 'imbau', 'jemaah', 'haji', 'masker', 'antisipasi', 'ispa']"
"['tentara', 'polisi', 'hendak', 'jual', 'ton', 'sisik', 'trenggil', 'gudang', 'polr', 'asah']"
"['saham', 'fore', 'mulai', 'lantai', 'bursa', 'senin', 'besok']"
"['direktur', 'lidi', 'endar', 'priantoro', 'mutasi', 'jadi', 'kapolda', 'kalimantan', 'timur']"
"['prabowo', 'jadwal', 'pidato', 'parlemen', 'turkiye', 'siang']"
"['anggota', 'kompolna', 'bahas', 'ruu', 'polri', 'libat', 'publik']"
"['polda', 'lampung', 'ungkap', 'kasu', 'preman', 'gangster', 'pamer', 'celurit']"
"['aru', 'mudik', 'bakal', 'ramai', 'pekan', 'ikut', 'jumlah', 'siap', 'asdp', 'ferry', 'indonesia']"
"['macron', 'bantu', 'gaza', 'jadi', 'priorita', 'pranci']"
"['milik', 'mobil', 'listrik', 'panggil', 'damkar', 'asap', 'suara', 'ledak']"
"['laku', 'sistem', 'satu', 'arah', 'jalur', 'puncak', 'bogor']"
"['hingga', 'april', 'perintah', 'cair', 'anggar', 'makan', 'gizi', 'grati', 'triliun']"
"['tip', 'atas', 'jet', 'lag', 'heidi', 'klum']"
"['cara', 'fitur', 'tambah', 'musik', 'statu', 'whatsapp']"
"['cara', 'kerja', 'terapi', 'antiretroviral', 'tangan', 'hiv']"
"['wamendagri', 'retret', 'gelombang', 'ikut', 'kepala', 'daerah']"
"['ghea', 'indrawari', 'tak', 'sulit', 'cipta', 'soundtrack', 'film', 'dendam', 'malam', 'kelam']"
"['ipul', 'tinjau', 'kampung', 'nelayan', 'kolaborasi', 'huni']"
"['saksi', 'upacara', 'adat', 'ngalaksa', 'sumedang']"
"['terapi', 'maksimal', 'jalan', 'rehat', 'rest', 'area']"
"['cara', 'jennifer', 'aniston', 'atas', 'rasa', 'takut', 'naik', 'pesawat']"
"['modu', 'tipu', 'online', 'marak', 'jadi', 'undang', 'nikah', 'palsu']"
"['komdigi', 'resmi', 'atur', 'layan', 'komersial', 'kadin', 'sorot', 'tantang', 'logistik', 'nasional']"
"['hutama', 'karya', 'raya', 'kartini', 'aksi', 'nyata', 'srikandi']"
"['makan', 'minum', 'jadi', 'obat', 'alami', 'gerd']"
"['jabat', 'seskab', 'letkol', 'teddy', 'kini', 'jadi', 'bawah', 'setmilpr', 'tak', 'setneg']"
"['produksi', 'energi', 'bioga', 'rumah', 'tangga', 'bogor']"
"['inter', 'mil', 'barcelona', 'simone', 'inzaghi', 'cari', 'cara', 'henti', 'lamine', 'yamal']"
"['periksa', 'karyawan', 'adhi', 'karya', 'kasu', 'korupsi', 'balai', 'teknik', 'perkeretaapian']"
"['ketua', 'aku', 'mayorita', 'publik', 'tahu', 'bahas', 'revisi', 'hap']"
"['luna', 'maya', 'maxime', 'bouttier', 'meni', 'mei']"
"['jadwal', 'motogp', 'seri', 'empat', 'qatar', 'lanjut', 'saing', 'sengit', 'marc', 'marquez', 'alex', 'marquez']"
"['fakta', 'fakta', 'ledak', 'musnah', 'amunisi', 'garut', 'tewas', 'orang']"
"['fakta', 'fakta', 'ajudan', 'kapolri', 'pukul', 'kepala', 'jurnali', 'semarang']"
"['lokasi', 'sekolah', 'rakyat', 'baru', 'milik', 'bangun', 'eksist']"
"['jokowi', 'tunjuk', 'ijazah', 'hingga', 'wartawan', 'jangan', 'foto']"
"['mudik', 'minta', 'hati', 'hati', 'lintas', 'kereta', 'api', 'banyak', 'jaga']"
"['istana', 'patuh', 'putus', 'soal', 'cemar', 'nama', 'ite', 'tak', 'laku', 'perintah']"
"['netizen', 'korea', 'kecam', 'gugat', 'goldmedalist', 'keluarga', 'kim', 'sae', 'ron', 'garosero']"
"['trump', 'tolak', 'desa', 'netanyahu', 'tahan', 'sanksi', 'suriah']"
"['pemkab', 'rau', 'ajar', 'hilir', 'terna', 'jombang']"
"['profil', 'chandra', 'asri', 'alkali', 'duga', 'jadi', 'korban', 'mala']"
"['together', 'film', 'horor', 'bintang', 'dave', 'franco', 'alison', 'brie']"
"['temu', 'bera', 'kutu', 'gudang', 'bulog', 'padi', 'wajar', 'kendali']"
"['model', 'iphone', 'seri', 'kantong', 'sertifikat', 'postel']"
"['damai', 'kamboja', 'jadi', 'contoh', 'asean']"
"['cina', 'masuk', 'usaha', 'daftar', 'hitam']"
"['kena', 'tarif', 'trump', 'persen', 'usaha', 'imbau', 'diversifikasi', 'pasar', 'ekspor']"
"['respon', 'dedi', 'mulyadi', 'soal', 'video', 'dialog', 'remaja', 'sebut', 'settingan']"
"['food', 'berangkat', 'ratus', 'mudik', 'tiga', 'provinsi']"
"['gunung', 'paektu', 'korea', 'utara', 'tetap', 'unesco', 'global', 'geopark']"
"['soal', 'tulis', 'ulang', 'sejarah', 'ketua', 'bilang', 'kaya', 'histori', 'bangsa']"
"['bupati', 'tulang', 'bawang', 'tolak', 'jual', 'beli', 'jabat']"
"['cerita', 'kepala', 'sekuriti', 'pasar', 'induk', 'kramat', 'jati', 'kepung', 'preman']"
"['ibu', 'kim', 'sae', 'ron', 'angkat', 'bicara', 'tuduh', 'palsu', 'manipulasi', 'media', 'upaya', 'baik', 'nama', 'baik']"
"['kejar', 'medan', 'jemput', 'paksa', 'risma', 'siahaan', 'sangka', 'kasu', 'aset', 'kai', 'miliar']"
"['semifinal', 'piala', 'sudirman', 'alwi', 'farhan', 'kalah', 'cho', 'geon', 'yeop']"
"['landmark', 'ikonik', 'tempat', 'wisata', 'fukuoka']"
"['barcelona', 'menang', 'ata', 'atletico', 'madrid', 'ego', 'simeone', 'nilai', 'tim', 'punya', 'peluang', 'juara']"
"['macron', 'tolak', 'mentah', 'mentah', 'pindah', 'paksa', 'warga', 'palestina', 'gaza']"
"['buana', 'finance', 'salur', 'kredit', 'triliun', 'panjang']"
"['rekap', 'hasil', 'klasemen', 'liga', 'spanyol', 'pekan', 'real', 'madrid', 'kalah', 'barcelona', 'seri']"
"['film', 'netflix', 'ringan', 'tonton', 'libur', 'panjang']"
"['alas', 'wisatawan', 'internasional', 'batal', 'libur', 'amerika', 'serikat']"
"['jelas', 'ppad', 'soal', 'temu', 'prabowo', 'istana', 'akhir', 'april', 'lalu']"
"['prabowo', 'minta', 'rumah', 'subsidi', 'kualitas', 'jawab', 'maruarar', 'sirait']"
"['dosen', 'ipb', 'jelas', 'fenomena', 'gera', 'tanah', 'rumah', 'ambruk', 'purwakarta']"
