clean_tokens
"['xiaomi', 'rili', 'mijia', 'smart', 'audio', 'glass', 'kacamata', 'pintar', 'ramp']"
"['saham', 'apple', 'amazon', 'nvidia', 'lonjak', 'serentak', 'magnificent', 'panen', 'triliun']"
"['modu', 'cabul', 'kedok', 'obat', 'bekas', 'klaim', 'sembuh', 'sakit']"
"['dampak', 'obat', 'antibiotik', 'ulang', 'anak']"
"['begini', 'cara', 'uru', 'sertifikat', 'apartemen']"
"['perintah', 'klaim', 'bera', 'surplu', 'ekspor', 'usaha', 'minta', 'hitung', 'ulang']"
"['manfaat', 'media', 'monitor', 'bisni', 'salah', 'tahu', 'tahu', 'reputasi']"
"['posko', 'orma', 'matraman', 'jadi', 'kaml', 'warga', 'lebih', 'nyaman']"
"['cek', 'jadwal', 'lokasi', 'sim', 'kelil', 'jakarta', 'hari', 'minggu']"
"['mulai', 'mei', 'sesuai', 'tarif', 'jalan', 'tol', 'kuncir', 'serpong', 'simak', 'rinciannya']"
"['cara', 'usir', 'lalat', 'buah', 'pakai', 'bahan', 'dapur', 'racun', 'makan']"
"['seru', 'pacu', 'adrenalin', 'river', 'tube', 'pusur', 'adventure', 'klaten']"
"['siapa', 'bayar', 'calang', 'tugas', 'aman', 'bal']"
"['truk', 'tni', 'muat', 'amunisi', 'ledak', 'tol', 'gempol', 'bawa', 'granat', 'tangan', 'peluru', 'kaliber', 'kecil']"
"['como', 'hilang', 'assane', 'diao', 'fabrega', 'tak', 'perlu', 'terlalu', 'cema']"
"['piramida', 'misteriu', 'usia', 'tahun', 'temu', 'dekat', 'laut', 'mati']"
"['kumpul', 'ucap', 'hari', 'kartini', 'ibu', 'hingga', 'guru']"
"['perintah', 'bakal', 'umum', 'versi', 'baru', 'gelar', 'november', 'tahun']"
"['harga', 'ema', 'antam', 'galeri', 'hari', 'mei', 'gadai']"
"['ucap', 'hari', 'waisak', 'bahasa', 'inggri', 'bahasa', 'indonesia']"
"['berapa', 'besar', 'planet', 'jupiter']"
"['ahli', 'nasab', 'dunia', 'kumpul', 'brebe', 'baha', 'turun', 'wali', 'songo']"
"['kai', 'properti', 'foku', 'terap', 'patuh', 'hukum', 'tata', 'kelola', 'baik']"
"['prabowo', 'laku', 'ombak', 'kabinet', 'pertama', 'apa', 'reshuffle', 'kabinet']"
"['hadir', 'diskon', 'tambah', 'daya', 'persen', 'cara']"
"['dewi', 'lanjar', 'kuasa', 'laut', 'utara', 'jawa']"
"['wall', 'street', 'hari', 'saham', 'raksasa', 'teknologi', 'kian', 'kuat']"
"['waspada', 'cuaca', 'ekstrem', 'makkah', 'imbau', 'jemaah', 'haji', 'indonesia']"
"['taman', 'safari', 'prigen', 'tegur', 'unjung', 'keluar', 'mobil', 'area', 'kuda', 'nil']"
"['ipul', 'teru', 'terang', 'tak', 'punya', 'mampu', 'pimpin']"
