clean_tokens
"['xiaomi', 'rilis', 'mijia', 'smart', 'audio', 'glasses', 'kacamata', 'pintar', 'ramping']"
"['saham', 'apple', 'amazon', 'nvidia', 'melonjak', 'serentak', 'magnificent', 'panen', 'triliun']"
"['modus', 'pencabulan', 'berkedok', 'pengobatan', 'bekasi', 'klaim', 'sembuhkan', 'penyakit']"
"['dampak', 'penggunaan', 'obat', 'antibiotik', 'berulang', 'anak']"
"['begini', 'cara', 'urus', 'sertifikat', 'apartemen']"
"['pemerintah', 'klaim', 'beras', 'surplus', 'ekspor', 'pengusaha', 'minta', 'hitung', 'ulang']"
"['manfaat', 'media', 'monitoring', 'bisnis', 'salah', 'tahunya', 'tahu', 'reputasi']"
"['posko', 'ormas', 'matraman', 'jadi', 'pos', 'kamling', 'warga', 'lebih', 'nyaman']"
"['cek', 'jadwal', 'lokasi', 'sim', 'keliling', 'jakarta', 'hari', 'minggu']"
"['mulai', 'mei', 'penyesuaian', 'tarif', 'jalan', 'tol', 'kunciran', 'serpong', 'simak', 'rinciannya']"
"['cara', 'usir', 'lalat', 'buah', 'pakai', 'bahan', 'dapur', 'meracuni', 'makanan']"
"['serunya', 'memacu', 'adrenalin', 'river', 'tubing', 'pusur', 'adventure', 'klaten']"
"['siapa', 'membayar', 'pecalang', 'petugas', 'keamanan', 'bali']"
"['truk', 'tni', 'bermuatan', 'amunisi', 'meledak', 'tol', 'gempol', 'bawa', 'granat', 'tangan', 'peluru', 'kaliber', 'kecil']"
"['como', 'kehilangan', 'assane', 'diao', 'fabregas', 'tak', 'perlu', 'terlalu', 'cemas']"
"['piramida', 'misterius', 'berusia', 'tahun', 'ditemukan', 'dekat', 'laut', 'mati']"
"['kumpulan', 'ucapan', 'hari', 'kartini', 'ibu', 'hingga', 'guru']"
"['pemerintah', 'bakal', 'umumkan', 'versi', 'baru', 'digelar', 'november', 'tahun']"
"['harga', 'emas', 'antam', 'ubs', 'galeri', 'hari', 'mei', 'pegadaian']"
"['ucapan', 'hari', 'waisak', 'bahasa', 'inggris', 'bahasa', 'indonesia']"
"['seberapa', 'besar', 'planet', 'jupiter']"
"['ahli', 'nasab', 'dunia', 'kumpul', 'brebes', 'bahas', 'keturunan', 'wali', 'songo']"
"['kai', 'properti', 'fokus', 'terapkan', 'kepatuhan', 'hukum', 'tata', 'kelola', 'baik']"
"['prabowo', 'lakukan', 'perombakan', 'kabinet', 'pertama', 'apa', 'reshuffle', 'kabinet']"
"['hadirkan', 'diskon', 'tambah', 'daya', 'persen', 'cara', 'mendapatkannya']"
"['dewi', 'lanjar', 'penguasa', 'laut', 'utara', 'jawa']"
"['wall', 'street', 'hari', 'saham', 'raksasa', 'teknologi', 'kian', 'menguat']"
"['waspada', 'cuaca', 'ekstrem', 'makkah', 'imbauan', 'jemaah', 'haji', 'indonesia']"
"['taman', 'safari', 'prigen', 'tegur', 'pengunjung', 'keluar', 'mobil', 'area', 'kuda', 'nil']"
"['gus', 'ipul', 'terus', 'terang', 'tak', 'punya', 'kemampuan', 'pimpin']"
"['paus', 'baru', 'terpilih', 'kelahiran', 'amerika', 'serikat', 'trump', 'sambut', 'gembira', 'bertemu']"
"['prabowo', 'tegaskan', 'tak', 'gentar', 'lawan', 'korupsi', 'meski', 'ancaman', 'aparat']"
"['fakta', 'unik', 'kucing', 'tuxedo', 'salah', 'satu', 'kucing', 'terkaya', 'dunia']"
"['respons', 'grib', 'jaya', 'usai', 'anggotanya', 'ditangkap', 'kasus', 'pemalakan']"
"['socrates', 'bapak', 'filsafat', 'barat', 'dituduh', 'merusak', 'generasi', 'muda']"
"['cara', 'paling', 'ampuh', 'membasmi', 'kecoak', 'rumah']"
"['cara', 'membuat', 'nasi', 'kuning', 'rice', 'cooker', 'santan', 'pulen', 'kering']"
"['misokinesia', 'gerakan', 'kecil', 'memicu', 'rasa', 'tak', 'nyaman']"
"['jangan', 'masak', 'makanan', 'wajan', 'stainless', 'steel']"
"['confluent', 'dorong', 'inovasi', 'digital', 'indonesia', 'lewat', 'data', 'streaming']"
"['tarif', 'parkir', 'naik', 'picu', 'parkir', 'liar', 'bermunculan']"
"['coba', 'selundupkan', 'sabu', 'padang', 'penumpang', 'bus', 'als', 'ditangkap', 'asahan']"
"['sejarah', 'kota', 'thaif', 'masa', 'nabi', 'muhammad']"
"['teleskop', 'webb', 'menangkap', 'gema', 'cahaya', 'jaring', 'debu', 'antarbintang']"
"['daftar', 'korban', 'tewas', 'ledakan', 'pemusnahan', 'amunisi', 'garut', 'termasuk', 'perwira', 'tni']"
"['tembok', 'benteng', 'keraton', 'kartasura', 'dijebol', 'dianggap', 'habiskan', 'kas']"
"['alaves', 'klub', 'sederhana', 'bermimpi', 'besar', 'pantau', 'bakat', 'indonesia']"
"['pembangunan', 'infrastruktur', 'tahap', 'ikn', 'masuk', 'proses', 'lelang']"
"['raline', 'shah', 'andalkan', 'tubuh', 'sehat', 'dapatkan', 'kulit', 'cantik']"
"['kisah', 'ines', 'tempuh', 'perjalanan', 'papua', 'surabaya', 'ikut', 'utbk']"
"['gugatan', 'posan', 'tobing', 'band', 'kotak', 'gugur', 'emosi', 'dilampiaskan', 'media', 'sosial']"
"['liam', 'gallagher', 'jadi', 'kakek', 'putrinya', 'umumkan', 'kehamilan', 'pertama']"
"['gunung', 'paektu', 'masuk', 'geopark', 'global', 'unesco', 'tempat', 'legendaris', 'korea', 'utara']"
"['cara', 'membuat', 'sambal', 'bawang', 'enak', 'tomat']"
"['diterima', 'kampus', 'top', 'dunia', 'sederet', 'prestasi', 'hammam', 'arfianda']"
"['hasil', 'sprint', 'race', 'motogp', 'perancis', 'marc', 'marquez', 'perkasa']"
"['gaming', 'zte', 'nubia', 'red', 'magic', 'air', 'resmi', 'bodi', 'tipis', 'punya', 'pendingin', 'canggih']"
"['tak', 'terima', 'diberi', 'jukir', 'liar', 'penjaringan', 'rampas', 'toll', 'korban']"
"['taiwan', 'technical', 'mission', 'fasilitasi', 'petani', 'buka', 'saluran', 'penjualan', 'langsung', 'konsumen']"
"['mengenal', 'kremasi', 'proses', 'tujuan', 'alasan', 'orang', 'memilihnya']"
"['megawati', 'sebut', 'perilaku', 'ibu', 'ibu', 'perlu', 'diteliti', 'mengetahui', 'situasi', 'perekonomian']"
"['peluang', 'bisnis', 'virtual', 'cocok', 'gen', 'kamu', 'tertarik']"
"['apa', 'alasan', 'ogoh', 'ogoh', 'dibakar', 'diarak']"
"['warna', 'warni', 'alam', 'hadir', 'koleksi', 'ubin', 'keramik', 'roman']"
"['pertama', 'kali', 'menara', 'kembar', 'kuala', 'lumpur', 'simak', 'tips', 'berwisata']"
"['ara', 'mau', 'rumah', 'subsidi', 'buat', 'art']"
"['mumi', 'bangsawan', 'peru', 'berusia', 'tahun', 'ditemukan', 'bekas', 'pembuangan', 'sampah']"
"['cara', 'bayar', 'hutang', 'puasa', 'terlewat', 'hingga', 'bertahun', 'tahun']"
"['pekerja', 'ikn', 'pembangunan', 'berlanjut']"
"['jemaah', 'haji', 'tak', 'kena', 'cukai', 'asal', 'nilainya', 'tak', 'lebih', 'juta']"
"['dedi', 'mulyadi', 'vasektomi', 'jadi', 'syarat', 'terima', 'bansos', 'prosedur', 'medisnya']"
"['paket', 'box', 'camper', 'praktis', 'petualangan', 'pakai', 'pikap']"
"['penyebab', 'cat', 'dinding', 'menggelembung', 'cara', 'mengatasinya']"
"['benarkah', 'minum', 'air', 'putih', 'tidur']"
"['bandara', 'palembang', 'jadi', 'internasional', 'sektor', 'pariwisata', 'sambut', 'antusias']"
"['kapal', 'karam', 'pulau', 'tikus', 'penumpang', 'ditemukan', 'selamat', 'pencarian', 'resmi', 'ditutup']"
